Mark_ID,Student_ID,Course_ID,Assignment,Quiz,Mid_Sem,End_Sem,Total,Grade,Grade_Point
MRK078,STU0008,CRS008,10,4,29,22,65,B,7
MRK079,STU0008,CRS009,8,9,28,50,95,A+,10
MRK080,STU0008,CRS010,9,6,23,20,58,C,6
MRK081,STU0009,CRS001,10,4,13,44,71,B+,8
MRK082,STU0009,CRS002,8,5,25,26,64,B,7
MRK083,STU0009,CRS003,9,4,14,27,54,C,6
MRK084,STU0009,CRS004,7,10,11,44,72,B+,8
MRK085,STU0009,CRS005,10,8,11,24,53,C,6
MRK086,STU0009,CRS006,7,6,29,49,91,A+,10
MRK087,STU0009,CRS007,9,10,10,49,78,B+,8
MRK088,STU0009,CRS008,8,4,10,20,42,D,5
MRK089,STU0009,CRS009,5,8,24,47,84,A,9
MRK090,STU0009,CRS010,7,9,12,42,70,B+,8
MRK091,STU0010,CRS001,8,6,10,34,58,C,6
MRK092,STU0010,CRS002,5,8,20,20,53,C,6
MRK093,STU0010,CRS003,8,4,17,24,53,C,6
MRK094,STU0010,CRS004,10,4,29,27,70,B+,8
MRK095,STU0010,CRS005,8,5,18,31,62,B,7
MRK096,STU0010,CRS006,5,8,14,40,67,B,7
MRK097,STU0010,CRS007,9,6,25,31,71,B+,8
MRK098,STU0010,CRS008,10,5,21,48,84,A,9
MRK099,STU0010,CRS009,5,5,20,40,70,B+,8
MRK100,STU0010,CRS010,10,9,27,45,91,A+,10
MRK101,STU0011,CRS001,10,8,22,28,68,B,7
MRK102,STU0011,CRS002,10,5,27,27,69,B,7
MRK103,STU0011,CRS003,10,8,30,40,88,A,9
MRK104,STU0011,CRS004,10,9,20,31,70,B+,8
MRK105,STU0011,CRS005,9,8,19,33,69,B,7
MRK106,STU0011,CRS006,7,10,13,22,52,C,6
MRK107,STU0011,CRS007,9,7,10,25,51,C,6
MRK108,STU0011,CRS008,6,7,21,47,81,A,9
MRK109,STU0011,CRS009,9,6,24,35,74,B+,8
MRK110,STU0011,CRS010,9,6,21,26,62,B,7
MRK111,STU0012,CRS001,7,10,18,40,75,B+,8
MRK112,STU0012,CRS002,10,9,27,19,65,B,7
MRK113,STU0012,CRS003,8,9,29,37,83,A,9
MRK114,STU0012,CRS004,7,10,17,22,56,C,6
MRK115,STU0012,CRS005,5,6,22,47,80,A,9
MRK116,STU0012,CRS006,8,6,17,43,74,B+,8
MRK117,STU0012,CRS007,6,6,20,43,75,B+,8
MRK118,STU0012,CRS008,8,4,16,22,50,C,6
MRK119,STU0012,CRS009,9,4,24,26,63,B,7
MRK120,STU0012,CRS010,8,8,17,29,62,B,7
MRK121,STU0013,CRS001,8,9,25,44,86,A,9
MRK122,STU0013,CRS002,9,8,29,39,85,A,9
MRK123,STU0013,CRS003,10,9,25,19,63,B,7
MRK124,STU0013,CRS004,6,5,29,22,62,B,7
MRK125,STU0013,CRS005,8,10,11,33,62,B,7
MRK126,STU0013,CRS006,7,4,26,49,86,A,9
MRK127,STU0013,CRS007,5,5,30,29,69,B,7
MRK128,STU0013,CRS008,8,4,11,46,69,B,7
MRK129,STU0013,CRS009,8,4,17,41,70,B+,8
MRK130,STU0013,CRS010,7,5,23,42,77,B+,8
MRK131,STU0014,CRS001,8,6,28,47,89,A,9
MRK132,STU0014,CRS002,7,5,26,26,64,B,7
MRK133,STU0014,CRS003,9,8,24,40,81,A,9
MRK134,STU0014,CRS004,5,7,13,33,58,C,6
MRK135,STU0014,CRS005,8,5,26,45,84,A,9
MRK136,STU0014,CRS006,5,5,13,39,62,B,7
MRK137,STU0014,CRS007,5,9,18,32,64,B,7
MRK138,STU0014,CRS008,6,7,16,32,61,B,7
MRK139,STU0014,CRS009,5,10,12,43,70,B+,8
MRK140,STU0014,CRS010,7,9,16,35,67,B,7
MRK141,STU0015,CRS001,8,5,22,45,80,A,9
MRK142,STU0015,CRS002,10,9,16,34,69,B,7
MRK143,STU0015,CRS003,7,8,13,42,70,B+,8
MRK144,STU0015,CRS004,6,10,12,46,74,B+,8
MRK145,STU0015,CRS005,10,10,25,44,89,A,9
MRK146,STU0015,CRS006,5,6,29,40,80,A,9
MRK147,STU0015,CRS007,6,9,26,46,87,A,9
MRK148,STU0015,CRS008,9,6,13,27,55,C,6
MRK149,STU0015,CRS009,10,9,26,26,71,B+,8
MRK150,STU0015,CRS010,9,8,26,47,90,A+,10
MRK151,STU0016,CRS001,8,8,20,24,60,B,7
MRK152,STU0016,CRS002,7,6,29,31,73,B+,8
MRK153,STU0016,CRS003,6,9,15,27,57,C,6
MRK154,STU0016,CRS004,7,4,14,21,46,D,5
MRK155,STU0016,CRS005,8,4,30,42,84,A,9
MRK156,STU0016,CRS006,10,8,22,37,77,B+,8
MRK157,STU0016,CRS007,8,9,16,36,69,B,7
MRK158,STU0016,CRS008,10,4,20,31,65,B,7
MRK159,STU0016,CRS009,9,9,29,38,85,A,9
MRK160,STU0016,CRS010,10,8,11,46,75,B+,8
MRK161,STU0017,CRS001,8,9,27,31,75,B+,8
MRK162,STU0017,CRS002,8,9,11,26,54,C,6
MRK163,STU0017,CRS003,10,6,29,46,91,A+,10
MRK164,STU0017,CRS004,5,6,24,43,78,B+,8
MRK165,STU0017,CRS005,8,10,28,49,95,A+,10
MRK166,STU0017,CRS006,8,4,13,21,46,D,5
MRK167,STU0017,CRS007,5,9,20,43,77,B+,8
MRK168,STU0017,CRS008,10,9,29,37,85,A,9
MRK169,STU0017,CRS009,8,7,20,20,55,C,6
MRK170,STU0017,CRS010,6,7,19,29,61,B,7
MRK171,STU0018,CRS001,10,9,10,24,53,C,6
MRK172,STU0018,CRS002,5,4,10,41,60,B,7
MRK173,STU0018,CRS003,9,5,23,43,80,A,9
MRK174,STU0018,CRS004,5,9,16,18,48,D,5
MRK175,STU0018,CRS005,5,9,23,47,84,A,9
MRK176,STU0018,CRS006,5,4,17,28,54,C,6
MRK177,STU0018,CRS007,5,7,13,22,47,D,5
MRK178,STU0018,CRS008,6,6,15,19,46,D,5
MRK179,STU0018,CRS009,6,7,28,45,86,A,9
MRK180,STU0018,CRS010,10,5,21,43,79,B+,8
MRK181,STU0019,CRS001,5,8,16,21,50,C,6
MRK182,STU0019,CRS002,6,9,21,46,82,A,9
MRK183,STU0019,CRS003,10,5,16,48,79,B+,8
MRK184,STU0019,CRS004,7,7,19,39,72,B+,8
MRK185,STU0019,CRS005,5,4,24,19,52,C,6
MRK186,STU0019,CRS006,7,9,15,47,78,B+,8
MRK187,STU0019,CRS007,7,9,10,49,75,B+,8
MRK188,STU0019,CRS008,5,8,11,43,67,B,7
MRK189,STU0019,CRS009,9,8,23,38,78,B+,8
MRK190,STU0019,CRS010,8,8,21,47,84,A,9
MRK191,STU0020,CRS001,9,6,10,29,54,C,6
MRK192,STU0020,CRS002,9,10,22,39,80,A,9
MRK193,STU0020,CRS003,6,10,14,25,55,C,6
MRK194,STU0020,CRS004,9,10,18,39,76,B+,8
MRK195,STU0020,CRS005,5,8,15,42,70,B+,8
MRK196,STU0020,CRS006,8,5,18,44,75,B+,8
MRK197,STU0020,CRS007,6,8,23,21,58,C,6
MRK198,STU0020,CRS008,8,9,15,36,68,B,7
MRK199,STU0020,CRS009,5,9,18,19,51,C,6
MRK200,STU0020,CRS010,5,10,16,41,72,B+,8
MRK201,STU0021,CRS001,9,5,20,47,81,A,9
MRK202,STU0021,CRS002,5,6,26,37,74,B+,8
MRK203,STU0021,CRS003,6,7,28,35,76,B+,8
MRK204,STU0021,CRS004,6,4,30,22,62,B,7
MRK205,STU0021,CRS005,6,5,19,50,80,A,9
MRK206,STU0021,CRS006,7,5,21,25,58,C,6
MRK207,STU0021,CRS007,10,6,25,27,68,B,7
MRK208,STU0021,CRS008,9,7,19,25,60,B,7
MRK209,STU0021,CRS009,7,10,27,48,92,A+,10
MRK210,STU0021,CRS010,7,6,18,49,80,A,9
MRK211,STU0022,CRS001,8,4,12,24,48,D,5
MRK212,STU0022,CRS002,10,10,14,39,73,B+,8
MRK213,STU0022,CRS003,6,10,10,20,46,D,5
MRK214,STU0022,CRS004,9,4,11,25,49,D,5
MRK215,STU0022,CRS005,8,8,13,20,49,D,5
MRK216,STU0022,CRS006,6,10,28,39,83,A,9
MRK217,STU0022,CRS007,6,9,29,42,86,A,9
MRK218,STU0022,CRS008,5,6,28,36,75,B+,8
MRK219,STU0022,CRS009,6,4,21,29,60,B,7
MRK220,STU0022,CRS010,8,6,14,40,68,B,7
MRK221,STU0023,CRS001,6,8,23,21,58,C,6
MRK222,STU0023,CRS002,9,9,19,31,68,B,7
MRK223,STU0023,CRS003,10,10,16,37,73,B+,8
MRK224,STU0023,CRS004,9,5,12,38,64,B,7
MRK225,STU0023,CRS005,5,4,25,49,83,A,9
MRK226,STU0023,CRS006,7,8,10,37,62,B,7
MRK227,STU0023,CRS007,7,10,15,18,50,C,6
MRK228,STU0023,CRS008,9,6,10,48,73,B+,8
MRK229,STU0023,CRS009,10,10,11,37,68,B,7
MRK230,STU0023,CRS010,6,8,13,22,49,D,5
MRK231,STU0024,CRS001,7,4,13,18,42,D,5
MRK232,STU0024,CRS002,10,8,26,20,64,B,7
MRK233,STU0024,CRS003,7,4,12,25,48,D,5
MRK234,STU0024,CRS004,5,7,12,42,66,B,7
MRK235,STU0024,CRS005,9,8,20,29,66,B,7
MRK236,STU0024,CRS006,6,5,13,31,55,C,6
MRK237,STU0024,CRS007,5,4,17,41,67,B,7
MRK238,STU0024,CRS008,5,7,24,45,81,A,9
MRK239,STU0024,CRS009,6,5,14,18,43,D,5
MRK240,STU0024,CRS010,6,4,30,27,67,B,7
MRK241,STU0025,CRS001,9,6,20,42,77,B+,8
MRK242,STU0025,CRS002,7,5,25,45,82,A,9
MRK243,STU0025,CRS003,6,7,26,44,83,A,9
MRK244,STU0025,CRS004,9,6,19,22,56,C,6
MRK245,STU0025,CRS005,5,7,25,48,85,A,9
MRK246,STU0025,CRS006,10,7,29,44,90,A+,10
MRK247,STU0025,CRS007,5,6,27,42,80,A,9
MRK248,STU0025,CRS008,10,8,26,41,85,A,9
MRK249,STU0025,CRS009,9,4,19,43,75,B+,8
MRK250,STU0025,CRS010,8,9,14,34,65,B,7
MRK251,STU0026,CRS001,10,5,13,50,78,B+,8
MRK252,STU0026,CRS002,8,4,25,22,59,C,6
MRK253,STU0026,CRS003,7,8,17,45,77,B+,8
MRK254,STU0026,CRS004,10,4,15,33,62,B,7
MRK255,STU0026,CRS005,5,6,30,33,74,B+,8
MRK256,STU0026,CRS006,6,10,25,50,91,A+,10
MRK257,STU0026,CRS007,7,6,18,38,69,B,7
MRK258,STU0026,CRS008,7,6,10,33,56,C,6
MRK259,STU0026,CRS009,9,4,12,23,48,D,5
MRK260,STU0026,CRS010,5,10,13,33,61,B,7
MRK261,STU0027,CRS001,9,8,18,45,80,A,9
MRK262,STU0027,CRS002,8,6,30,24,68,B,7
MRK263,STU0027,CRS003,9,4,29,32,74,B+,8
MRK264,STU0027,CRS004,7,4,25,29,65,B,7
MRK265,STU0027,CRS005,7,6,19,33,65,B,7
MRK266,STU0027,CRS006,8,8,22,23,61,B,7
MRK267,STU0027,CRS007,7,10,23,25,65,B,7
MRK268,STU0027,CRS008,5,8,23,45,81,A,9
MRK269,STU0027,CRS009,9,9,21,31,70,B+,8
MRK270,STU0027,CRS010,5,7,27,23,62,B,7
MRK271,STU0028,CRS001,10,5,26,20,61,B,7
MRK272,STU0028,CRS002,6,5,24,49,84,A,9
MRK273,STU0028,CRS003,7,8,22,30,67,B,7
MRK274,STU0028,CRS004,7,4,23,37,71,B+,8
MRK275,STU0028,CRS005,5,5,11,30,51,C,6
MRK276,STU0028,CRS006,6,6,12,42,66,B,7
MRK277,STU0028,CRS007,6,5,13,45,69,B,7
MRK278,STU0028,CRS008,10,10,11,20,51,C,6
MRK279,STU0028,CRS009,10,9,19,47,85,A,9
MRK280,STU0028,CRS010,10,8,20,39,77,B+,8
MRK281,STU0029,CRS001,9,4,29,45,87,A,9
MRK282,STU0029,CRS002,7,5,14,39,65,B,7
MRK283,STU0029,CRS003,9,8,20,32,69,B,7
MRK284,STU0029,CRS004,9,7,16,48,80,A,9
MRK285,STU0029,CRS005,7,10,16,39,72,B+,8
MRK286,STU0029,CRS006,7,6,14,27,54,C,6
MRK287,STU0029,CRS007,8,5,16,42,71,B+,8
MRK288,STU0029,CRS008,6,5,15,35,61,B,7
MRK289,STU0029,CRS009,5,7,25,37,74,B+,8
MRK290,STU0029,CRS010,6,4,20,43,73,B+,8
MRK291,STU0030,CRS001,6,4,22,37,69,B,7
MRK292,STU0030,CRS002,8,10,20,28,66,B,7
MRK293,STU0030,CRS003,8,4,10,31,53,C,6
MRK294,STU0030,CRS004,8,7,14,18,47,D,5
MRK295,STU0030,CRS005,5,4,15,28,52,C,6
MRK296,STU0030,CRS006,9,9,24,46,88,A,9
MRK297,STU0030,CRS007,9,7,17,33,66,B,7
MRK298,STU0030,CRS008,6,9,22,42,79,B+,8
MRK299,STU0030,CRS009,8,9,19,22,58,C,6
MRK300,STU0030,CRS010,6,9,16,49,80,A,9
MRK301,STU0031,CRS001,10,7,28,50,95,A+,10
MRK302,STU0031,CRS002,9,6,28,43,86,A,9
MRK303,STU0031,CRS003,8,10,18,49,85,A,9
MRK304,STU0031,CRS004,6,7,18,47,78,B+,8
MRK305,STU0031,CRS005,5,10,11,18,44,D,5
MRK306,STU0031,CRS006,6,6,30,28,70,B+,8
MRK307,STU0031,CRS007,9,6,13,20,48,D,5
MRK308,STU0031,CRS008,9,5,16,47,77,B+,8
MRK309,STU0031,CRS009,7,4,24,43,78,B+,8
MRK310,STU0031,CRS010,6,6,25,41,78,B+,8
MRK311,STU0032,CRS001,9,8,25,26,68,B,7
MRK312,STU0032,CRS002,8,6,20,19,53,C,6
MRK313,STU0032,CRS003,9,6,23,24,62,B,7
MRK314,STU0032,CRS004,5,6,30,44,85,A,9
MRK315,STU0032,CRS005,8,10,19,39,76,B+,8
MRK316,STU0032,CRS006,9,7,22,22,60,B,7
MRK317,STU0032,CRS007,10,5,17,27,59,C,6
MRK318,STU0032,CRS008,9,7,17,44,77,B+,8
MRK319,STU0032,CRS009,5,5,21,33,64,B,7
MRK320,STU0032,CRS010,10,4,26,27,67,B,7
MRK321,STU0033,CRS001,5,6,25,48,84,A,9
MRK322,STU0033,CRS002,8,5,13,20,46,D,5
MRK323,STU0033,CRS003,9,5,28,22,64,B,7
MRK324,STU0033,CRS004,7,6,24,48,85,A,9
MRK325,STU0033,CRS005,10,7,17,37,71,B+,8
MRK326,STU0033,CRS006,5,10,13,44,72,B+,8
MRK327,STU0033,CRS007,6,7,12,39,64,B,7
MRK328,STU0033,CRS008,6,5,18,32,61,B,7
MRK329,STU0033,CRS009,5,4,29,43,81,A,9
MRK330,STU0033,CRS010,6,10,24,40,80,A,9
MRK331,STU0034,CRS001,5,5,12,44,66,B,7
MRK332,STU0034,CRS002,9,10,22,43,84,A,9
MRK333,STU0034,CRS003,7,4,12,20,43,D,5
MRK334,STU0034,CRS004,5,8,26,24,63,B,7
MRK335,STU0034,CRS005,10,6,23,18,57,C,6
MRK336,STU0034,CRS006,5,7,14,35,61,B,7
MRK337,STU0034,CRS007,7,6,24,38,75,B+,8
MRK338,STU0034,CRS008,8,10,21,23,62,B,7
MRK339,STU0034,CRS009,10,9,20,24,63,B,7
MRK340,STU0034,CRS010,5,7,18,37,67,B,7
MRK341,STU0035,CRS001,5,5,17,45,72,B+,8
MRK342,STU0035,CRS002,10,5,22,26,63,B,7
MRK343,STU0035,CRS003,10,10,11,23,54,C,6
MRK344,STU0035,CRS004,9,9,24,31,73,B+,8
MRK345,STU0035,CRS005,7,4,17,30,58,C,6
MRK346,STU0035,CRS006,6,9,16,21,52,C,6
MRK347,STU0035,CRS007,10,6,16,39,71,B+,8
MRK348,STU0035,CRS008,6,7,28,23,64,B,7
MRK349,STU0035,CRS009,10,7,28,21,66,B,7
MRK350,STU0035,CRS010,5,7,25,21,58,C,6
MRK351,STU0036,CRS001,9,4,29,32,74,B+,8
MRK352,STU0036,CRS002,10,5,16,26,57,C,6
MRK353,STU0036,CRS003,8,4,13,27,52,C,6
MRK354,STU0036,CRS004,6,4,22,39,71,B+,8
MRK355,STU0036,CRS005,9,10,20,32,71,B+,8
MRK356,STU0036,CRS006,8,8,29,31,76,B+,8
MRK357,STU0036,CRS007,5,6,17,50,78,B+,8
MRK358,STU0036,CRS008,10,10,27,40,87,A,9
MRK359,STU0036,CRS009,6,7,22,38,73,B+,8
MRK360,STU0036,CRS010,10,8,12,37,67,B,7
MRK361,STU0037,CRS001,9,8,18,29,64,B,7
MRK362,STU0037,CRS002,10,7,20,46,83,A,9
MRK363,STU0037,CRS003,7,9,13,34,63,B,7
MRK364,STU0037,CRS004,10,4,25,29,68,B,7
MRK365,STU0037,CRS005,5,10,22,46,83,A,9
MRK366,STU0037,CRS006,5,4,11,45,65,B,7
MRK367,STU0037,CRS007,10,5,17,48,80,A,9
MRK368,STU0037,CRS008,8,7,28,39,82,A,9
MRK369,STU0037,CRS009,8,10,28,30,76,B+,8
MRK370,STU0037,CRS010,6,6,18,49,79,B+,8
MRK371,STU0038,CRS001,5,8,21,39,73,B+,8
MRK372,STU0038,CRS002,7,6,30,37,80,A,9
MRK373,STU0038,CRS003,8,7,27,35,77,B+,8
MRK374,STU0038,CRS004,6,4,24,44,78,B+,8
MRK375,STU0038,CRS005,5,10,21,24,60,B,7
MRK376,STU0038,CRS006,7,9,30,19,65,B,7
MRK377,STU0038,CRS007,5,7,29,40,81,A,9
MRK378,STU0038,CRS008,9,7,20,21,57,C,6
MRK379,STU0038,CRS009,7,9,23,47,86,A,9
MRK380,STU0038,CRS010,10,9,30,34,83,A,9
MRK381,STU0039,CRS001,5,9,15,27,56,C,6
MRK382,STU0039,CRS002,10,6,28,46,90,A+,10
MRK383,STU0039,CRS003,8,5,10,45,68,B,7
MRK384,STU0039,CRS004,7,8,24,43,82,A,9
MRK385,STU0039,CRS005,7,4,16,21,48,D,5
MRK386,STU0039,CRS006,10,8,27,42,87,A,9
MRK387,STU0039,CRS007,10,4,17,26,57,C,6
MRK388,STU0039,CRS008,5,9,18,44,76,B+,8
MRK389,STU0039,CRS009,6,10,18,25,59,C,6
MRK390,STU0039,CRS010,9,6,28,50,93,A+,10
MRK391,STU0040,CRS001,6,6,16,43,71,B+,8
MRK392,STU0040,CRS002,8,6,11,27,52,C,6
MRK393,STU0040,CRS003,6,6,22,26,60,B,7
MRK394,STU0040,CRS004,9,6,26,34,75,B+,8
MRK395,STU0040,CRS005,7,6,28,24,65,B,7
MRK396,STU0040,CRS006,5,6,17,47,75,B+,8
MRK397,STU0040,CRS007,6,5,20,27,58,C,6
MRK398,STU0040,CRS008,7,4,24,36,71,B+,8
MRK399,STU0040,CRS009,6,5,27,41,79,B+,8
MRK400,STU0040,CRS010,5,4,23,32,64,B,7
MRK401,STU0041,CRS001,8,8,25,48,89,A,9
MRK402,STU0041,CRS002,7,8,14,26,55,C,6
MRK403,STU0041,CRS003,6,7,10,47,70,B+,8
MRK404,STU0041,CRS004,6,9,28,18,61,B,7
MRK405,STU0041,CRS005,6,10,28,39,83,A,9
MRK406,STU0041,CRS006,9,9,13,48,79,B+,8
MRK407,STU0041,CRS007,5,9,30,30,74,B+,8
MRK408,STU0041,CRS008,7,8,29,32,76,B+,8
MRK409,STU0041,CRS009,10,9,23,44,86,A,9
MRK410,STU0041,CRS010,7,5,27,22,61,B,7
MRK411,STU0042,CRS001,9,4,14,27,54,C,6
MRK412,STU0042,CRS002,9,8,27,22,66,B,7
MRK413,STU0042,CRS003,7,8,20,44,79,B+,8
MRK414,STU0042,CRS004,10,7,28,45,90,A+,10
MRK415,STU0042,CRS005,6,10,12,31,59,C,6
MRK416,STU0042,CRS006,10,10,12,37,69,B,7
MRK417,STU0042,CRS007,5,7,18,41,71,B+,8
MRK418,STU0042,CRS008,8,4,19,49,80,A,9
MRK419,STU0042,CRS009,5,6,27,27,65,B,7
MRK420,STU0042,CRS010,6,8,18,37,69,B,7
MRK421,STU0043,CRS001,8,10,29,36,83,A,9
MRK422,STU0043,CRS002,5,7,28,44,84,A,9
MRK423,STU0043,CRS003,5,10,13,50,78,B+,8
MRK424,STU0043,CRS004,9,4,19,43,75,B+,8
MRK425,STU0043,CRS005,5,8,12,19,44,D,5
MRK426,STU0043,CRS006,6,5,17,49,77,B+,8
MRK427,STU0043,CRS007,9,5,19,43,76,B+,8
MRK428,STU0043,CRS008,9,6,15,40,70,B+,8
MRK429,STU0043,CRS009,7,5,25,18,55,C,6
MRK430,STU0043,CRS010,6,8,15,38,67,B,7
MRK431,STU0044,CRS001,10,10,23,19,62,B,7
MRK432,STU0044,CRS002,10,9,15,42,76,B+,8
MRK433,STU0044,CRS003,8,10,15,27,60,B,7
MRK434,STU0044,CRS004,9,10,10,40,69,B,7
MRK435,STU0044,CRS005,6,8,23,30,67,B,7
MRK436,STU0044,CRS006,9,8,27,42,86,A,9
MRK437,STU0044,CRS007,10,8,19,22,59,C,6
MRK438,STU0044,CRS008,6,7,16,43,72,B+,8
MRK439,STU0044,CRS009,7,8,14,45,74,B+,8
MRK440,STU0044,CRS010,6,8,18,29,61,B,7
MRK441,STU0045,CRS001,10,4,22,41,77,B+,8
MRK442,STU0045,CRS002,9,6,17,41,73,B+,8
MRK443,STU0045,CRS003,9,10,22,21,62,B,7
MRK444,STU0045,CRS004,10,8,28,43,89,A,9
MRK445,STU0045,CRS005,5,4,20,47,76,B+,8
MRK446,STU0045,CRS006,6,9,25,36,76,B+,8
MRK447,STU0045,CRS007,9,6,22,29,66,B,7
MRK448,STU0045,CRS008,10,6,29,35,80,A,9
MRK449,STU0045,CRS009,8,9,25,24,66,B,7
MRK450,STU0045,CRS010,10,7,22,42,81,A,9
MRK451,STU0046,CRS001,10,8,28,42,88,A,9
MRK452,STU0046,CRS002,9,7,14,50,80,A,9
MRK453,STU0046,CRS003,9,7,26,40,82,A,9
MRK454,STU0046,CRS004,6,10,28,27,71,B+,8
MRK455,STU0046,CRS005,5,8,19,49,81,A,9
MRK456,STU0046,CRS006,6,10,23,43,82,A,9
MRK457,STU0046,CRS007,5,9,20,37,71,B+,8
MRK458,STU0046,CRS008,6,8,30,44,88,A,9
MRK459,STU0046,CRS009,9,5,10,28,52,C,6
MRK460,STU0046,CRS010,9,7,25,39,80,A,9
MRK461,STU0047,CRS001,5,7,30,50,92,A+,10
MRK462,STU0047,CRS002,9,7,23,29,68,B,7
MRK463,STU0047,CRS003,10,7,10,42,69,B,7
MRK464,STU0047,CRS004,8,5,16,36,65,B,7
MRK465,STU0047,CRS005,8,10,30,45,93,A+,10
MRK466,STU0047,CRS006,5,5,24,46,80,A,9
MRK467,STU0047,CRS007,5,10,30,45,90,A+,10
MRK468,STU0047,CRS008,8,5,20,50,83,A,9
MRK469,STU0047,CRS009,5,5,25,45,80,A,9
MRK470,STU0047,CRS010,8,9,14,39,70,B+,8
MRK471,STU0048,CRS001,9,6,13,35,63,B,7
MRK472,STU0048,CRS002,7,6,13,30,56,C,6
MRK473,STU0048,CRS003,5,6,26,37,74,B+,8
