Attendance_ID,Student_ID,Course_ID,Classes_Conducted,Classes_Attended,Attendance_Percentage
ATT082,STU0009,CRS002,45,34,75.56
ATT083,STU0009,CRS003,45,34,75.56
ATT084,STU0009,CRS004,45,34,75.56
ATT085,STU0009,CRS005,45,34,75.56
ATT086,STU0009,CRS006,45,34,75.56
ATT087,STU0009,CRS007,45,34,75.56
ATT088,STU0009,CRS008,45,34,75.56
ATT089,STU0009,CRS009,45,34,75.56
ATT090,STU0009,CRS010,45,34,75.56
ATT091,STU0010,CRS001,45,43,95.56
ATT092,STU0010,CRS002,45,43,95.56
ATT093,STU0010,CRS003,45,43,95.56
ATT094,STU0010,CRS004,45,43,95.56
ATT095,STU0010,CRS005,45,43,95.56
ATT096,STU0010,CRS006,45,43,95.56
ATT097,STU0010,CRS007,45,43,95.56
ATT098,STU0010,CRS008,45,43,95.56
ATT099,STU0010,CRS009,45,43,95.56
ATT100,STU0010,CRS010,45,43,95.56
ATT101,STU0011,CRS001,45,38,84.44
ATT102,STU0011,CRS002,45,38,84.44
ATT103,STU0011,CRS003,45,38,84.44
ATT104,STU0011,CRS004,45,38,84.44
ATT105,STU0011,CRS005,45,38,84.44
ATT106,STU0011,CRS006,45,38,84.44
ATT107,STU0011,CRS007,45,38,84.44
ATT108,STU0011,CRS008,45,38,84.44
ATT109,STU0011,CRS009,45,38,84.44
ATT110,STU0011,CRS010,45,38,84.44
ATT111,STU0012,CRS001,45,36,80.0
ATT112,STU0012,CRS002,45,36,80.0
ATT113,STU0012,CRS003,45,36,80.0
ATT114,STU0012,CRS004,45,36,80.0
ATT115,STU0012,CRS005,45,36,80.0
ATT116,STU0012,CRS006,45,36,80.0
ATT117,STU0012,CRS007,45,36,80.0
ATT118,STU0012,CRS008,45,36,80.0
ATT119,STU0012,CRS009,45,36,80.0
ATT120,STU0012,CRS010,45,36,80.0
ATT121,STU0013,CRS001,45,42,93.33
ATT122,STU0013,CRS002,45,42,93.33
ATT123,STU0013,CRS003,45,42,93.33
ATT124,STU0013,CRS004,45,42,93.33
ATT125,STU0013,CRS005,45,42,93.33
ATT126,STU0013,CRS006,45,42,93.33
ATT127,STU0013,CRS007,45,42,93.33
ATT128,STU0013,CRS008,45,42,93.33
ATT129,STU0013,CRS009,45,42,93.33
ATT130,STU0013,CRS010,45,42,93.33
ATT131,STU0014,CRS001,45,44,97.78
ATT132,STU0014,CRS002,45,44,97.78
ATT133,STU0014,CRS003,45,44,97.78
ATT134,STU0014,CRS004,45,44,97.78
ATT135,STU0014,CRS005,45,44,97.78
ATT136,STU0014,CRS006,45,44,97.78
ATT137,STU0014,CRS007,45,44,97.78
ATT138,STU0014,CRS008,45,44,97.78
ATT139,STU0014,CRS009,45,44,97.78
ATT140,STU0014,CRS010,45,44,97.78
ATT141,STU0015,CRS001,45,39,86.67
ATT142,STU0015,CRS002,45,39,86.67
ATT143,STU0015,CRS003,45,39,86.67
ATT144,STU0015,CRS004,45,39,86.67
ATT145,STU0015,CRS005,45,39,86.67
ATT146,STU0015,CRS006,45,39,86.67
ATT147,STU0015,CRS007,45,39,86.67
ATT148,STU0015,CRS008,45,39,86.67
ATT149,STU0015,CRS009,45,39,86.67
ATT150,STU0015,CRS010,45,39,86.67
ATT151,STU0016,CRS001,45,44,97.78
ATT152,STU0016,CRS002,45,44,97.78
ATT153,STU0016,CRS003,45,44,97.78
ATT154,STU0016,CRS004,45,44,97.78
ATT155,STU0016,CRS005,45,44,97.78
ATT156,STU0016,CRS006,45,44,97.78
ATT157,STU0016,CRS007,45,44,97.78
ATT158,STU0016,CRS008,45,44,97.78
ATT159,STU0016,CRS009,45,44,97.78
ATT160,STU0016,CRS010,45,44,97.78
ATT161,STU0017,CRS001,45,41,91.11
ATT162,STU0017,CRS002,45,41,91.11
ATT163,STU0017,CRS003,45,41,91.11
ATT164,STU0017,CRS004,45,41,91.11
ATT165,STU0017,CRS005,45,41,91.11
ATT166,STU0017,CRS006,45,41,91.11
ATT167,STU0017,CRS007,45,41,91.11
ATT168,STU0017,CRS008,45,41,91.11
ATT169,STU0017,CRS009,45,41,91.11
ATT170,STU0017,CRS010,45,41,91.11
ATT171,STU0018,CRS001,45,44,97.78
ATT172,STU0018,CRS002,45,44,97.78
ATT173,STU0018,CRS003,45,44,97.78
ATT174,STU0018,CRS004,45,44,97.78
ATT175,STU0018,CRS005,45,44,97.78
ATT176,STU0018,CRS006,45,44,97.78
ATT177,STU0018,CRS007,45,44,97.78
ATT178,STU0018,CRS008,45,44,97.78
ATT179,STU0018,CRS009,45,44,97.78
ATT180,STU0018,CRS010,45,44,97.78
ATT181,STU0019,CRS001,45,38,84.44
ATT182,STU0019,CRS002,45,38,84.44
ATT183,STU0019,CRS003,45,38,84.44
ATT184,STU0019,CRS004,45,38,84.44
ATT185,STU0019,CRS005,45,38,84.44
ATT186,STU0019,CRS006,45,38,84.44
ATT187,STU0019,CRS007,45,38,84.44
ATT188,STU0019,CRS008,45,38,84.44
ATT189,STU0019,CRS009,45,38,84.44
ATT190,STU0019,CRS010,45,38,84.44
ATT191,STU0020,CRS001,45,40,88.89
ATT192,STU0020,CRS002,45,40,88.89
ATT193,STU0020,CRS003,45,40,88.89
ATT194,STU0020,CRS004,45,40,88.89
ATT195,STU0020,CRS005,45,40,88.89
ATT196,STU0020,CRS006,45,40,88.89
ATT197,STU0020,CRS007,45,40,88.89
ATT198,STU0020,CRS008,45,40,88.89
ATT199,STU0020,CRS009,45,40,88.89
ATT200,STU0020,CRS010,45,40,88.89
ATT201,STU0021,CRS001,45,40,88.89
ATT202,STU0021,CRS002,45,40,88.89
ATT203,STU0021,CRS003,45,40,88.89
ATT204,STU0021,CRS004,45,40,88.89
ATT205,STU0021,CRS005,45,40,88.89
ATT206,STU0021,CRS006,45,40,88.89
ATT207,STU0021,CRS007,45,40,88.89
ATT208,STU0021,CRS008,45,40,88.89
ATT209,STU0021,CRS009,45,40,88.89
ATT210,STU0021,CRS010,45,40,88.89
ATT211,STU0022,CRS001,45,36,80.0
ATT212,STU0022,CRS002,45,36,80.0
ATT213,STU0022,CRS003,45,36,80.0
ATT214,STU0022,CRS004,45,36,80.0
ATT215,STU0022,CRS005,45,36,80.0
ATT216,STU0022,CRS006,45,36,80.0
ATT217,STU0022,CRS007,45,36,80.0
ATT218,STU0022,CRS008,45,36,80.0
ATT219,STU0022,CRS009,45,36,80.0
ATT220,STU0022,CRS010,45,36,80.0
ATT221,STU0023,CRS001,45,43,95.56
ATT222,STU0023,CRS002,45,43,95.56
ATT223,STU0023,CRS003,45,43,95.56
ATT224,STU0023,CRS004,45,43,95.56
ATT225,STU0023,CRS005,45,43,95.56
ATT226,STU0023,CRS006,45,43,95.56
ATT227,STU0023,CRS007,45,43,95.56
ATT228,STU0023,CRS008,45,43,95.56
ATT229,STU0023,CRS009,45,43,95.56
ATT230,STU0023,CRS010,45,43,95.56
ATT231,STU0024,CRS001,45,39,86.67
ATT232,STU0024,CRS002,45,39,86.67
ATT233,STU0024,CRS003,45,39,86.67
ATT234,STU0024,CRS004,45,39,86.67
ATT235,STU0024,CRS005,45,39,86.67
ATT236,STU0024,CRS006,45,39,86.67
ATT237,STU0024,CRS007,45,39,86.67
ATT238,STU0024,CRS008,45,39,86.67
ATT239,STU0024,CRS009,45,39,86.67
ATT240,STU0024,CRS010,45,39,86.67
ATT241,STU0025,CRS001,45,35,77.78
ATT242,STU0025,CRS002,45,35,77.78
ATT243,STU0025,CRS003,45,35,77.78
ATT244,STU0025,CRS004,45,35,77.78
ATT245,STU0025,CRS005,45,35,77.78
ATT246,STU0025,CRS006,45,35,77.78
ATT247,STU0025,CRS007,45,35,77.78
ATT248,STU0025,CRS008,45,35,77.78
ATT249,STU0025,CRS009,45,35,77.78
ATT250,STU0025,CRS010,45,35,77.78
ATT251,STU0026,CRS001,45,35,77.78
ATT252,STU0026,CRS002,45,35,77.78
ATT253,STU0026,CRS003,45,35,77.78
ATT254,STU0026,CRS004,45,35,77.78
ATT255,STU0026,CRS005,45,35,77.78
ATT256,STU0026,CRS006,45,35,77.78
ATT257,STU0026,CRS007,45,35,77.78
ATT258,STU0026,CRS008,45,35,77.78
ATT259,STU0026,CRS009,45,35,77.78
ATT260,STU0026,CRS010,45,35,77.78
ATT261,STU0027,CRS001,45,34,75.56
ATT262,STU0027,CRS002,45,34,75.56
ATT263,STU0027,CRS003,45,34,75.56
ATT264,STU0027,CRS004,45,34,75.56
ATT265,STU0027,CRS005,45,34,75.56
ATT266,STU0027,CRS006,45,34,75.56
ATT267,STU0027,CRS007,45,34,75.56
ATT268,STU0027,CRS008,45,34,75.56
ATT269,STU0027,CRS009,45,34,75.56
ATT270,STU0027,CRS010,45,34,75.56
ATT271,STU0028,CRS001,45,40,88.89
ATT272,STU0028,CRS002,45,40,88.89
ATT273,STU0028,CRS003,45,40,88.89
ATT274,STU0028,CRS004,45,40,88.89
ATT275,STU0028,CRS005,45,40,88.89
ATT276,STU0028,CRS006,45,40,88.89
ATT277,STU0028,CRS007,45,40,88.89
ATT278,STU0028,CRS008,45,40,88.89
ATT279,STU0028,CRS009,45,40,88.89
ATT280,STU0028,CRS010,45,40,88.89
ATT281,STU0029,CRS001,45,43,95.56
ATT282,STU0029,CRS002,45,43,95.56
ATT283,STU0029,CRS003,45,43,95.56
ATT284,STU0029,CRS004,45,43,95.56
ATT285,STU0029,CRS005,45,43,95.56
ATT286,STU0029,CRS006,45,43,95.56
ATT287,STU0029,CRS007,45,43,95.56
ATT288,STU0029,CRS008,45,43,95.56
ATT289,STU0029,CRS009,45,43,95.56
ATT290,STU0029,CRS010,45,43,95.56
ATT291,STU0030,CRS001,45,40,88.89
ATT292,STU0030,CRS002,45,40,88.89
ATT293,STU0030,CRS003,45,40,88.89
ATT294,STU0030,CRS004,45,40,88.89
ATT295,STU0030,CRS005,45,40,88.89
ATT296,STU0030,CRS006,45,40,88.89
ATT297,STU0030,CRS007,45,40,88.89
ATT298,STU0030,CRS008,45,40,88.89
ATT299,STU0030,CRS009,45,40,88.89
ATT300,STU0030,CRS010,45,40,88.89
ATT301,STU0031,CRS001,45,36,80.0
ATT302,STU0031,CRS002,45,36,80.0
ATT303,STU0031,CRS003,45,36,80.0
ATT304,STU0031,CRS004,45,36,80.0
ATT305,STU0031,CRS005,45,36,80.0
ATT306,STU0031,CRS006,45,36,80.0
ATT307,STU0031,CRS007,45,36,80.0
ATT308,STU0031,CRS008,45,36,80.0
ATT309,STU0031,CRS009,45,36,80.0
ATT310,STU0031,CRS010,45,36,80.0
ATT311,STU0032,CRS001,45,37,82.22
ATT312,STU0032,CRS002,45,37,82.22
ATT313,STU0032,CRS003,45,37,82.22
ATT314,STU0032,CRS004,45,37,82.22
ATT315,STU0032,CRS005,45,37,82.22
ATT316,STU0032,CRS006,45,37,82.22
ATT317,STU0032,CRS007,45,37,82.22
ATT318,STU0032,CRS008,45,37,82.22
ATT319,STU0032,CRS009,45,37,82.22
ATT320,STU0032,CRS010,45,37,82.22
ATT321,STU0033,CRS001,45,44,97.78
ATT322,STU0033,CRS002,45,44,97.78
ATT323,STU0033,CRS003,45,44,97.78
ATT324,STU0033,CRS004,45,44,97.78
ATT325,STU0033,CRS005,45,44,97.78
ATT326,STU0033,CRS006,45,44,97.78
ATT327,STU0033,CRS007,45,44,97.78
ATT328,STU0033,CRS008,45,44,97.78
ATT329,STU0033,CRS009,45,44,97.78
ATT330,STU0033,CRS010,45,44,97.78
ATT331,STU0034,CRS001,45,37,82.22
ATT332,STU0034,CRS002,45,37,82.22
ATT333,STU0034,CRS003,45,37,82.22
ATT334,STU0034,CRS004,45,37,82.22
ATT335,STU0034,CRS005,45,37,82.22
ATT336,STU0034,CRS006,45,37,82.22
ATT337,STU0034,CRS007,45,37,82.22
ATT338,STU0034,CRS008,45,37,82.22
ATT339,STU0034,CRS009,45,37,82.22
ATT340,STU0034,CRS010,45,37,82.22
ATT341,STU0035,CRS001,45,39,86.67
ATT342,STU0035,CRS002,45,39,86.67
ATT343,STU0035,CRS003,45,39,86.67
ATT344,STU0035,CRS004,45,39,86.67
ATT345,STU0035,CRS005,45,39,86.67
ATT346,STU0035,CRS006,45,39,86.67
ATT347,STU0035,CRS007,45,39,86.67
ATT348,STU0035,CRS008,45,39,86.67
ATT349,STU0035,CRS009,45,39,86.67
ATT350,STU0035,CRS010,45,39,86.67
ATT351,STU0036,CRS001,45,40,88.89
ATT352,STU0036,CRS002,45,40,88.89
ATT353,STU0036,CRS003,45,40,88.89
ATT354,STU0036,CRS004,45,40,88.89
ATT355,STU0036,CRS005,45,40,88.89
ATT356,STU0036,CRS006,45,40,88.89
ATT357,STU0036,CRS007,45,40,88.89
ATT358,STU0036,CRS008,45,40,88.89
ATT359,STU0036,CRS009,45,40,88.89
ATT360,STU0036,CRS010,45,40,88.89
ATT361,STU0037,CRS001,45,35,77.78
ATT362,STU0037,CRS002,45,35,77.78
ATT363,STU0037,CRS003,45,35,77.78
ATT364,STU0037,CRS004,45,35,77.78
ATT365,STU0037,CRS005,45,35,77.78
ATT366,STU0037,CRS006,45,35,77.78
ATT367,STU0037,CRS007,45,35,77.78
ATT368,STU0037,CRS008,45,35,77.78
ATT369,STU0037,CRS009,45,35,77.78
ATT370,STU0037,CRS010,45,35,77.78
ATT371,STU0038,CRS001,45,36,80.0
ATT372,STU0038,CRS002,45,36,80.0
ATT373,STU0038,CRS003,45,36,80.0
ATT374,STU0038,CRS004,45,36,80.0
ATT375,STU0038,CRS005,45,36,80.0
ATT376,STU0038,CRS006,45,36,80.0
ATT377,STU0038,CRS007,45,36,80.0
ATT378,STU0038,CRS008,45,36,80.0
ATT379,STU0038,CRS009,45,36,80.0
ATT380,STU0038,CRS010,45,36,80.0
ATT381,STU0039,CRS001,45,40,88.89
ATT382,STU0039,CRS002,45,40,88.89
ATT383,STU0039,CRS003,45,40,88.89
ATT384,STU0039,CRS004,45,40,88.89
ATT385,STU0039,CRS005,45,40,88.89
ATT386,STU0039,CRS006,45,40,88.89
ATT387,STU0039,CRS007,45,40,88.89
ATT388,STU0039,CRS008,45,40,88.89
ATT389,STU0039,CRS009,45,40,88.89
ATT390,STU0039,CRS010,45,40,88.89
ATT391,STU0040,CRS001,45,41,91.11
ATT392,STU0040,CRS002,45,41,91.11
ATT393,STU0040,CRS003,45,41,91.11
ATT394,STU0040,CRS004,45,41,91.11
ATT395,STU0040,CRS005,45,41,91.11
ATT396,STU0040,CRS006,45,41,91.11
ATT397,STU0040,CRS007,45,41,91.11
ATT398,STU0040,CRS008,45,41,91.11
ATT399,STU0040,CRS009,45,41,91.11
ATT400,STU0040,CRS010,45,41,91.11
ATT401,STU0041,CRS001,45,42,93.33
ATT402,STU0041,CRS002,45,42,93.33
ATT403,STU0041,CRS003,45,42,93.33
ATT404,STU0041,CRS004,45,42,93.33
ATT405,STU0041,CRS005,45,42,93.33
ATT406,STU0041,CRS006,45,42,93.33
ATT407,STU0041,CRS007,45,42,93.33
ATT408,STU0041,CRS008,45,42,93.33
ATT409,STU0041,CRS009,45,42,93.33
ATT410,STU0041,CRS010,45,42,93.33
ATT411,STU0042,CRS001,45,38,84.44
ATT412,STU0042,CRS002,45,38,84.44
ATT413,STU0042,CRS003,45,38,84.44
ATT414,STU0042,CRS004,45,38,84.44
ATT415,STU0042,CRS005,45,38,84.44
ATT416,STU0042,CRS006,45,38,84.44
ATT417,STU0042,CRS007,45,38,84.44
ATT418,STU0042,CRS008,45,38,84.44
ATT419,STU0042,CRS009,45,38,84.44
ATT420,STU0042,CRS010,45,38,84.44
ATT421,STU0043,CRS001,45,41,91.11
ATT422,STU0043,CRS002,45,41,91.11
ATT423,STU0043,CRS003,45,41,91.11
ATT424,STU0043,CRS004,45,41,91.11
ATT425,STU0043,CRS005,45,41,91.11
ATT426,STU0043,CRS006,45,41,91.11
ATT427,STU0043,CRS007,45,41,91.11
ATT428,STU0043,CRS008,45,41,91.11
ATT429,STU0043,CRS009,45,41,91.11
ATT430,STU0043,CRS010,45,41,91.11
ATT431,STU0044,CRS001,45,43,95.56
ATT432,STU0044,CRS002,45,43,95.56
ATT433,STU0044,CRS003,45,43,95.56
ATT434,STU0044,CRS004,45,43,95.56
ATT435,STU0044,CRS005,45,43,95.56
ATT436,STU0044,CRS006,45,43,95.56
ATT437,STU0044,CRS007,45,43,95.56
ATT438,STU0044,CRS008,45,43,95.56
ATT439,STU0044,CRS009,45,43,95.56
ATT440,STU0044,CRS010,45,43,95.56
ATT441,STU0045,CRS001,45,44,97.78
ATT442,STU0045,CRS002,45,44,97.78
ATT443,STU0045,CRS003,45,44,97.78
ATT444,STU0045,CRS004,45,44,97.78
ATT445,STU0045,CRS005,45,44,97.78
ATT446,STU0045,CRS006,45,44,97.78
ATT447,STU0045,CRS007,45,44,97.78
ATT448,STU0045,CRS008,45,44,97.78
ATT449,STU0045,CRS009,45,44,97.78
ATT450,STU0045,CRS010,45,44,97.78
ATT451,STU0046,CRS001,45,36,80.0
ATT452,STU0046,CRS002,45,36,80.0
ATT453,STU0046,CRS003,45,36,80.0
ATT454,STU0046,CRS004,45,36,80.0
ATT455,STU0046,CRS005,45,36,80.0
ATT456,STU0046,CRS006,45,36,80.0
ATT457,STU0046,CRS007,45,36,80.0
ATT458,STU0046,CRS008,45,36,80.0
ATT459,STU0046,CRS009,45,36,80.0
ATT460,STU0046,CRS010,45,36,80.0
ATT461,STU0047,CRS001,45,44,97.78
ATT462,STU0047,CRS002,45,44,97.78
ATT463,STU0047,CRS003,45,44,97.78
ATT464,STU0047,CRS004,45,44,97.78
ATT465,STU0047,CRS005,45,44,97.78
ATT466,STU0047,CRS006,45,44,97.78
ATT467,STU0047,CRS007,45,44,97.78
ATT468,STU0047,CRS008,45,44,97.78
ATT469,STU0047,CRS009,45,44,97.78
ATT470,STU0047,CRS010,45,44,97.78
ATT471,STU0048,CRS001,45,40,88.89
ATT472,STU0048,CRS002,45,40,88.89
ATT473,STU0048,CRS003,45,40,88.89
ATT474,STU0048,CRS004,45,40,88.89
ATT475,STU0048,CRS005,45,40,88.89
ATT476,STU0048,CRS006,45,40,88.89
ATT477,STU0048,CRS007,45,40,88.89
ATT478,STU0048,CRS008,45,40,88.89
ATT479,STU0048,CRS009,45,40,88.89
ATT480,STU0048,CRS010,45,40,88.89
ATT481,STU0049,CRS001,45,41,91.11
ATT482,STU0049,CRS002,45,41,91.11
ATT483,STU0049,CRS003,45,41,91.11
ATT484,STU0049,CRS004,45,41,91.11
ATT485,STU0049,CRS005,45,41,91.11
ATT486,STU0049,CRS006,45,41,91.11
ATT487,STU0049,CRS007,45,41,91.11
ATT488,STU0049,CRS008,45,41,91.11
ATT489,STU0049,CRS009,45,41,91.11
ATT490,STU0049,CRS010,45,41,91.11
ATT491,STU0050,CRS001,45,38,84.44
ATT492,STU0050,CRS002,45,38,84.44
ATT493,STU0050,CRS003,45,38,84.44
ATT494,STU0050,CRS004,45,38,84.44
ATT495,STU0050,CRS005,45,38,84.44
ATT496,STU0050,CRS006,45,38,84.44
ATT497,STU0050,CRS007,45,38,84.44
ATT498,STU0050,CRS008,45,38,84.44
ATT499,STU0050,CRS009,45,38,84.44
ATT500,STU0050,CRS010,45,38,84.44
ATT501,STU0051,CRS001,45,36,80.0
ATT502,STU0051,CRS002,45,36,80.0
ATT503,STU0051,CRS003,45,36,80.0
ATT504,STU0051,CRS004,45,36,80.0
ATT505,STU0051,CRS005,45,36,80.0
ATT506,STU0051,CRS006,45,36,80.0
ATT507,STU0051,CRS007,45,36,80.0
ATT508,STU0051,CRS008,45,36,80.0
ATT509,STU0051,CRS009,45,36,80.0
ATT510,STU0051,CRS010,45,36,80.0
ATT511,STU0052,CRS001,45,36,80.0
ATT512,STU0052,CRS002,45,36,80.0
ATT513,STU0052,CRS003,45,36,80.0
ATT514,STU0052,CRS004,45,36,80.0
ATT515,STU0052,CRS005,45,36,80.0
ATT516,STU0052,CRS006,45,36,80.0
ATT517,STU0052,CRS007,45,36,80.0
ATT518,STU0052,CRS008,45,36,80.0
ATT519,STU0052,CRS009,45,36,80.0
ATT520,STU0052,CRS010,45,36,80.0
ATT521,STU0053,CRS001,45,39,86.67
ATT522,STU0053,CRS002,45,39,86.67
ATT523,STU0053,CRS003,45,39,86.67
ATT524,STU0053,CRS004,45,39,86.67
ATT525,STU0053,CRS005,45,39,86.67
ATT526,STU0053,CRS006,45,39,86.67
ATT527,STU0053,CRS007,45,39,86.67
ATT528,STU0053,CRS008,45,39,86.67
ATT529,STU0053,CRS009,45,39,86.67
ATT530,STU0053,CRS010,45,39,86.67
ATT531,STU0054,CRS001,45,36,80.0
ATT532,STU0054,CRS002,45,36,80.0
ATT533,STU0054,CRS003,45,36,80.0
ATT534,STU0054,CRS004,45,36,80.0
ATT535,STU0054,CRS005,45,36,80.0
ATT536,STU0054,CRS006,45,36,80.0
ATT537,STU0054,CRS007,45,36,80.0
ATT538,STU0054,CRS008,45,36,80.0
ATT539,STU0054,CRS009,45,36,80.0
ATT540,STU0054,CRS010,45,36,80.0
ATT541,STU0055,CRS001,45,36,80.0
ATT542,STU0055,CRS002,45,36,80.0
ATT543,STU0055,CRS003,45,36,80.0
ATT544,STU0055,CRS004,45,36,80.0
ATT545,STU0055,CRS005,45,36,80.0
ATT546,STU0055,CRS006,45,36,80.0
ATT547,STU0055,CRS007,45,36,80.0
ATT548,STU0055,CRS008,45,36,80.0
ATT549,STU0055,CRS009,45,36,80.0
ATT550,STU0055,CRS010,45,36,80.0
ATT551,STU0056,CRS001,45,39,86.67
ATT552,STU0056,CRS002,45,39,86.67
ATT553,STU0056,CRS003,45,39,86.67
ATT554,STU0056,CRS004,45,39,86.67
ATT555,STU0056,CRS005,45,39,86.67
ATT556,STU0056,CRS006,45,39,86.67
ATT557,STU0056,CRS007,45,39,86.67
ATT558,STU0056,CRS008,45,39,86.67
ATT559,STU0056,CRS009,45,39,86.67
ATT560,STU0056,CRS010,45,39,86.67
ATT561,STU0057,CRS001,45,35,77.78
ATT562,STU0057,CRS002,45,35,77.78
ATT563,STU0057,CRS003,45,35,77.78
ATT564,STU0057,CRS004,45,35,77.78
ATT565,STU0057,CRS005,45,35,77.78
ATT566,STU0057,CRS006,45,35,77.78
ATT567,STU0057,CRS007,45,35,77.78
ATT568,STU0057,CRS008,45,35,77.78
ATT569,STU0057,CRS009,45,35,77.78
ATT570,STU0057,CRS010,45,35,77.78
ATT571,STU0058,CRS001,45,41,91.11
ATT572,STU0058,CRS002,45,41,91.11
ATT573,STU0058,CRS003,45,41,91.11
ATT574,STU0058,CRS004,45,41,91.11
ATT575,STU0058,CRS005,45,41,91.11
ATT576,STU0058,CRS006,45,41,91.11
ATT577,STU0058,CRS007,45,41,91.11
ATT578,STU0058,CRS008,45,41,91.11
ATT579,STU0058,CRS009,45,41,91.11
ATT580,STU0058,CRS010,45,41,91.11
ATT581,STU0059,CRS001,45,43,95.56
ATT582,STU0059,CRS002,45,43,95.56
ATT583,STU0059,CRS003,45,43,95.56
ATT584,STU0059,CRS004,45,43,95.56
ATT585,STU0059,CRS005,45,43,95.56
ATT586,STU0059,CRS006,45,43,95.56
ATT587,STU0059,CRS007,45,43,95.56
ATT588,STU0059,CRS008,45,43,95.56
ATT589,STU0059,CRS009,45,43,95.56
ATT590,STU0059,CRS010,45,43,95.56
ATT591,STU0060,CRS001,45,44,97.78
ATT592,STU0060,CRS002,45,44,97.78
ATT593,STU0060,CRS003,45,44,97.78
ATT594,STU0060,CRS004,45,44,97.78
ATT595,STU0060,CRS005,45,44,97.78
ATT596,STU0060,CRS006,45,44,97.78
ATT597,STU0060,CRS007,45,44,97.78
ATT598,STU0060,CRS008,45,44,97.78
ATT599,STU0060,CRS009,45,44,97.78
ATT600,STU0060,CRS010,45,44,97.78
ATT601,STU0061,CRS011,45,44,97.78
ATT602,STU0061,CRS012,45,44,97.78
ATT603,STU0061,CRS013,45,44,97.78
ATT604,STU0061,CRS014,45,44,97.78
