Fee_ID,Student_ID,Semester,Tuition_Fee,Library_Fee,Exam_Fee,Total_Fee,Amount_Paid,Balance,Status
FEE035,STU0005,3,90000,3000,2500,95500,57783,37717,Partially Paid
FEE036,STU0005,4,90000,3000,2500,95500,95500,0,Paid
FEE037,STU0005,5,90000,3000,2500,95500,0,95500,Pending
FEE038,STU0005,6,90000,3000,2500,95500,95500,0,Paid
FEE039,STU0005,7,90000,3000,2500,95500,95500,0,Paid
FEE040,STU0005,8,90000,3000,2500,95500,77075,18425,Partially Paid
FEE041,STU0006,1,90000,3000,2500,95500,95500,0,Paid
FEE042,STU0006,2,90000,3000,2500,95500,63982,31518,Partially Paid
FEE043,STU0006,3,90000,3000,2500,95500,88374,7126,Partially Paid
FEE044,STU0006,4,90000,3000,2500,95500,0,95500,Pending
FEE045,STU0006,5,90000,3000,2500,95500,95500,0,Paid
FEE046,STU0006,6,90000,3000,2500,95500,95500,0,Paid
FEE047,STU0006,7,90000,3000,2500,95500,95500,0,Paid
FEE048,STU0006,8,90000,3000,2500,95500,0,95500,Pending
FEE049,STU0007,1,90000,3000,2500,95500,0,95500,Pending
FEE050,STU0007,2,90000,3000,2500,95500,95500,0,Paid
FEE051,STU0007,3,90000,3000,2500,95500,95500,0,Paid
FEE052,STU0007,4,90000,3000,2500,95500,53146,42354,Partially Paid
FEE053,STU0007,5,90000,3000,2500,95500,95500,0,Paid
FEE054,STU0007,6,90000,3000,2500,95500,95500,0,Paid
FEE055,STU0007,7,90000,3000,2500,95500,0,95500,Pending
FEE056,STU0007,8,90000,3000,2500,95500,48008,47492,Partially Paid
FEE057,STU0008,1,90000,3000,2500,95500,95500,0,Paid
FEE058,STU0008,2,90000,3000,2500,95500,79484,16016,Partially Paid
FEE059,STU0008,3,90000,3000,2500,95500,95500,0,Paid
FEE060,STU0008,4,90000,3000,2500,95500,95500,0,Paid
FEE061,STU0008,5,90000,3000,2500,95500,95500,0,Paid
FEE062,STU0008,6,90000,3000,2500,95500,95500,0,Paid
FEE063,STU0008,7,90000,3000,2500,95500,95500,0,Paid
FEE064,STU0008,8,90000,3000,2500,95500,95500,0,Paid
FEE065,STU0009,1,90000,3000,2500,95500,95500,0,Paid
FEE066,STU0009,2,90000,3000,2500,95500,95500,0,Paid
FEE067,STU0009,3,90000,3000,2500,95500,95500,0,Paid
FEE068,STU0009,4,90000,3000,2500,95500,95500,0,Paid
FEE069,STU0009,5,90000,3000,2500,95500,95500,0,Paid
FEE070,STU0009,6,90000,3000,2500,95500,95500,0,Paid
FEE071,STU0009,7,90000,3000,2500,95500,93233,2267,Partially Paid
FEE072,STU0009,8,90000,3000,2500,95500,48952,46548,Partially Paid
FEE073,STU0010,1,90000,3000,2500,95500,95500,0,Paid
FEE074,STU0010,2,90000,3000,2500,95500,77482,18018,Partially Paid
FEE075,STU0010,3,90000,3000,2500,95500,88239,7261,Partially Paid
FEE076,STU0010,4,90000,3000,2500,95500,95500,0,Paid
FEE077,STU0010,5,90000,3000,2500,95500,95500,0,Paid
FEE078,STU0010,6,90000,3000,2500,95500,87673,7827,Partially Paid
FEE079,STU0010,7,90000,3000,2500,95500,95500,0,Paid
FEE080,STU0010,8,90000,3000,2500,95500,95500,0,Paid
FEE081,STU0011,1,90000,3000,2500,95500,95500,0,Paid
FEE082,STU0011,2,90000,3000,2500,95500,95500,0,Paid
FEE083,STU0011,3,90000,3000,2500,95500,95500,0,Paid
FEE084,STU0011,4,90000,3000,2500,95500,95500,0,Paid
FEE085,STU0011,5,90000,3000,2500,95500,0,95500,Pending
FEE086,STU0011,6,90000,3000,2500,95500,57014,38486,Partially Paid
FEE087,STU0011,7,90000,3000,2500,95500,79431,16069,Partially Paid
FEE088,STU0011,8,90000,3000,2500,95500,48488,47012,Partially Paid
FEE089,STU0012,1,90000,3000,2500,95500,0,95500,Pending
FEE090,STU0012,2,90000,3000,2500,95500,95500,0,Paid
FEE091,STU0012,3,90000,3000,2500,95500,95500,0,Paid
FEE092,STU0012,4,90000,3000,2500,95500,89091,6409,Partially Paid
FEE093,STU0012,5,90000,3000,2500,95500,95500,0,Paid
FEE094,STU0012,6,90000,3000,2500,95500,95500,0,Paid
FEE095,STU0012,7,90000,3000,2500,95500,0,95500,Pending
FEE096,STU0012,8,90000,3000,2500,95500,73343,22157,Partially Paid
FEE097,STU0013,1,90000,3000,2500,95500,0,95500,Pending
FEE098,STU0013,2,90000,3000,2500,95500,95500,0,Paid
FEE099,STU0013,3,90000,3000,2500,95500,95500,0,Paid
FEE100,STU0013,4,90000,3000,2500,95500,95500,0,Paid
FEE101,STU0013,5,90000,3000,2500,95500,77684,17816,Partially Paid
FEE102,STU0013,6,90000,3000,2500,95500,95500,0,Paid
FEE103,STU0013,7,90000,3000,2500,95500,48880,46620,Partially Paid
FEE104,STU0013,8,90000,3000,2500,95500,0,95500,Pending
FEE105,STU0014,1,90000,3000,2500,95500,95500,0,Paid
FEE106,STU0014,2,90000,3000,2500,95500,95500,0,Paid
FEE107,STU0014,3,90000,3000,2500,95500,95500,0,Paid
FEE108,STU0014,4,90000,3000,2500,95500,63891,31609,Partially Paid
FEE109,STU0014,5,90000,3000,2500,95500,95500,0,Paid
FEE110,STU0014,6,90000,3000,2500,95500,95500,0,Paid
FEE111,STU0014,7,90000,3000,2500,95500,95500,0,Paid
FEE112,STU0014,8,90000,3000,2500,95500,95500,0,Paid
FEE113,STU0015,1,90000,3000,2500,95500,95500,0,Paid
FEE114,STU0015,2,90000,3000,2500,95500,95500,0,Paid
FEE115,STU0015,3,90000,3000,2500,95500,95500,0,Paid
FEE116,STU0015,4,90000,3000,2500,95500,87517,7983,Partially Paid
FEE117,STU0015,5,90000,3000,2500,95500,95500,0,Paid
FEE118,STU0015,6,90000,3000,2500,95500,0,95500,Pending
FEE119,STU0015,7,90000,3000,2500,95500,95500,0,Paid
FEE120,STU0015,8,90000,3000,2500,95500,95500,0,Paid
FEE121,STU0016,1,90000,3000,2500,95500,95500,0,Paid
FEE122,STU0016,2,90000,3000,2500,95500,95500,0,Paid
FEE123,STU0016,3,90000,3000,2500,95500,95500,0,Paid
FEE124,STU0016,4,90000,3000,2500,95500,0,95500,Pending
FEE125,STU0016,5,90000,3000,2500,95500,95500,0,Paid
FEE126,STU0016,6,90000,3000,2500,95500,95500,0,Paid
FEE127,STU0016,7,90000,3000,2500,95500,95500,0,Paid
FEE128,STU0016,8,90000,3000,2500,95500,90529,4971,Partially Paid
FEE129,STU0017,1,90000,3000,2500,95500,95500,0,Paid
FEE130,STU0017,2,90000,3000,2500,95500,68237,27263,Partially Paid
FEE131,STU0017,3,90000,3000,2500,95500,0,95500,Pending
FEE132,STU0017,4,90000,3000,2500,95500,77559,17941,Partially Paid
FEE133,STU0017,5,90000,3000,2500,95500,95500,0,Paid
FEE134,STU0017,6,90000,3000,2500,95500,95500,0,Paid
FEE135,STU0017,7,90000,3000,2500,95500,65573,29927,Partially Paid
FEE136,STU0017,8,90000,3000,2500,95500,95500,0,Paid
FEE137,STU0018,1,90000,3000,2500,95500,0,95500,Pending
FEE138,STU0018,2,90000,3000,2500,95500,95500,0,Paid
FEE139,STU0018,3,90000,3000,2500,95500,61546,33954,Partially Paid
FEE140,STU0018,4,90000,3000,2500,95500,95500,0,Paid
FEE141,STU0018,5,90000,3000,2500,95500,95500,0,Paid
FEE142,STU0018,6,90000,3000,2500,95500,95500,0,Paid
FEE143,STU0018,7,90000,3000,2500,95500,95500,0,Paid
FEE144,STU0018,8,90000,3000,2500,95500,62038,33462,Partially Paid
FEE145,STU0019,1,90000,3000,2500,95500,95500,0,Paid
FEE146,STU0019,2,90000,3000,2500,95500,95500,0,Paid
FEE147,STU0019,3,90000,3000,2500,95500,95500,0,Paid
FEE148,STU0019,4,90000,3000,2500,95500,95500,0,Paid
FEE149,STU0019,5,90000,3000,2500,95500,95500,0,Paid
FEE150,STU0019,6,90000,3000,2500,95500,95500,0,Paid
FEE151,STU0019,7,90000,3000,2500,95500,68242,27258,Partially Paid
FEE152,STU0019,8,90000,3000,2500,95500,95500,0,Paid
FEE153,STU0020,1,90000,3000,2500,95500,71983,23517,Partially Paid
FEE154,STU0020,2,90000,3000,2500,95500,95500,0,Paid
FEE155,STU0020,3,90000,3000,2500,95500,0,95500,Pending
FEE156,STU0020,4,90000,3000,2500,95500,95500,0,Paid
FEE157,STU0020,5,90000,3000,2500,95500,77643,17857,Partially Paid
FEE158,STU0020,6,90000,3000,2500,95500,95500,0,Paid
FEE159,STU0020,7,90000,3000,2500,95500,90080,5420,Partially Paid
FEE160,STU0020,8,90000,3000,2500,95500,95500,0,Paid
FEE161,STU0021,1,90000,3000,2500,95500,95500,0,Paid
FEE162,STU0021,2,90000,3000,2500,95500,95500,0,Paid
FEE163,STU0021,3,90000,3000,2500,95500,95500,0,Paid
FEE164,STU0021,4,90000,3000,2500,95500,95500,0,Paid
FEE165,STU0021,5,90000,3000,2500,95500,0,95500,Pending
FEE166,STU0021,6,90000,3000,2500,95500,95500,0,Paid
FEE167,STU0021,7,90000,3000,2500,95500,95500,0,Paid
FEE168,STU0021,8,90000,3000,2500,95500,54546,40954,Partially Paid
FEE169,STU0022,1,90000,3000,2500,95500,95500,0,Paid
FEE170,STU0022,2,90000,3000,2500,95500,49652,45848,Partially Paid
FEE171,STU0022,3,90000,3000,2500,95500,95500,0,Paid
FEE172,STU0022,4,90000,3000,2500,95500,95500,0,Paid
FEE173,STU0022,5,90000,3000,2500,95500,75533,19967,Partially Paid
FEE174,STU0022,6,90000,3000,2500,95500,95500,0,Paid
FEE175,STU0022,7,90000,3000,2500,95500,57996,37504,Partially Paid
FEE176,STU0022,8,90000,3000,2500,95500,95500,0,Paid
FEE177,STU0023,1,90000,3000,2500,95500,95500,0,Paid
FEE178,STU0023,2,90000,3000,2500,95500,75007,20493,Partially Paid
FEE179,STU0023,3,90000,3000,2500,95500,94302,1198,Partially Paid
FEE180,STU0023,4,90000,3000,2500,95500,95500,0,Paid
FEE181,STU0023,5,90000,3000,2500,95500,95500,0,Paid
FEE182,STU0023,6,90000,3000,2500,95500,95500,0,Paid
FEE183,STU0023,7,90000,3000,2500,95500,81418,14082,Partially Paid
FEE184,STU0023,8,90000,3000,2500,95500,0,95500,Pending
FEE185,STU0024,1,90000,3000,2500,95500,95500,0,Paid
FEE186,STU0024,2,90000,3000,2500,95500,95500,0,Paid
FEE187,STU0024,3,90000,3000,2500,95500,95500,0,Paid
FEE188,STU0024,4,90000,3000,2500,95500,95500,0,Paid
FEE189,STU0024,5,90000,3000,2500,95500,95500,0,Paid
FEE190,STU0024,6,90000,3000,2500,95500,51144,44356,Partially Paid
FEE191,STU0024,7,90000,3000,2500,95500,95500,0,Paid
FEE192,STU0024,8,90000,3000,2500,95500,80642,14858,Partially Paid
FEE193,STU0025,1,90000,3000,2500,95500,0,95500,Pending
FEE194,STU0025,2,90000,3000,2500,95500,95500,0,Paid
FEE195,STU0025,3,90000,3000,2500,95500,95500,0,Paid
FEE196,STU0025,4,90000,3000,2500,95500,92842,2658,Partially Paid
FEE197,STU0025,5,90000,3000,2500,95500,95500,0,Paid
FEE198,STU0025,6,90000,3000,2500,95500,95500,0,Paid
FEE199,STU0025,7,90000,3000,2500,95500,58159,37341,Partially Paid
FEE200,STU0025,8,90000,3000,2500,95500,69228,26272,Partially Paid
FEE201,STU0026,1,90000,3000,2500,95500,95500,0,Paid
FEE202,STU0026,2,90000,3000,2500,95500,53370,42130,Partially Paid
FEE203,STU0026,3,90000,3000,2500,95500,95500,0,Paid
FEE204,STU0026,4,90000,3000,2500,95500,0,95500,Pending
FEE205,STU0026,5,90000,3000,2500,95500,95500,0,Paid
FEE206,STU0026,6,90000,3000,2500,95500,82030,13470,Partially Paid
FEE207,STU0026,7,90000,3000,2500,95500,95500,0,Paid
FEE208,STU0026,8,90000,3000,2500,95500,95500,0,Paid
FEE209,STU0027,1,90000,3000,2500,95500,95500,0,Paid
FEE210,STU0027,2,90000,3000,2500,95500,59259,36241,Partially Paid
FEE211,STU0027,3,90000,3000,2500,95500,95500,0,Paid
FEE212,STU0027,4,90000,3000,2500,95500,95500,0,Paid
FEE213,STU0027,5,90000,3000,2500,95500,95500,0,Paid
FEE214,STU0027,6,90000,3000,2500,95500,95500,0,Paid
FEE215,STU0027,7,90000,3000,2500,95500,95500,0,Paid
FEE216,STU0027,8,90000,3000,2500,95500,59233,36267,Partially Paid
FEE217,STU0028,1,90000,3000,2500,95500,79418,16082,Partially Paid
FEE218,STU0028,2,90000,3000,2500,95500,60633,34867,Partially Paid
FEE219,STU0028,3,90000,3000,2500,95500,93171,2329,Partially Paid
FEE220,STU0028,4,90000,3000,2500,95500,95500,0,Paid
FEE221,STU0028,5,90000,3000,2500,95500,0,95500,Pending
FEE222,STU0028,6,90000,3000,2500,95500,95500,0,Paid
FEE223,STU0028,7,90000,3000,2500,95500,68203,27297,Partially Paid
FEE224,STU0028,8,90000,3000,2500,95500,95500,0,Paid
FEE225,STU0029,1,90000,3000,2500,95500,95500,0,Paid
FEE226,STU0029,2,90000,3000,2500,95500,0,95500,Pending
FEE227,STU0029,3,90000,3000,2500,95500,87460,8040,Partially Paid
FEE228,STU0029,4,90000,3000,2500,95500,88466,7034,Partially Paid
FEE229,STU0029,5,90000,3000,2500,95500,0,95500,Pending
FEE230,STU0029,6,90000,3000,2500,95500,95500,0,Paid
FEE231,STU0029,7,90000,3000,2500,95500,81781,13719,Partially Paid
FEE232,STU0029,8,90000,3000,2500,95500,95500,0,Paid
FEE233,STU0030,1,90000,3000,2500,95500,95500,0,Paid
FEE234,STU0030,2,90000,3000,2500,95500,95500,0,Paid
FEE235,STU0030,3,90000,3000,2500,95500,73183,22317,Partially Paid
FEE236,STU0030,4,90000,3000,2500,95500,95500,0,Paid
FEE237,STU0030,5,90000,3000,2500,95500,95500,0,Paid
FEE238,STU0030,6,90000,3000,2500,95500,95500,0,Paid
FEE239,STU0030,7,90000,3000,2500,95500,0,95500,Pending
FEE240,STU0030,8,90000,3000,2500,95500,74981,20519,Partially Paid
FEE241,STU0031,1,90000,3000,2500,95500,82972,12528,Partially Paid
FEE242,STU0031,2,90000,3000,2500,95500,52994,42506,Partially Paid
FEE243,STU0031,3,90000,3000,2500,95500,58721,36779,Partially Paid
FEE244,STU0031,4,90000,3000,2500,95500,95500,0,Paid
FEE245,STU0031,5,90000,3000,2500,95500,95500,0,Paid
FEE246,STU0031,6,90000,3000,2500,95500,95500,0,Paid
FEE247,STU0031,7,90000,3000,2500,95500,95500,0,Paid
FEE248,STU0031,8,90000,3000,2500,95500,0,95500,Pending
FEE249,STU0032,1,90000,3000,2500,95500,84196,11304,Partially Paid
FEE250,STU0032,2,90000,3000,2500,95500,95500,0,Paid
FEE251,STU0032,3,90000,3000,2500,95500,88889,6611,Partially Paid
FEE252,STU0032,4,90000,3000,2500,95500,95500,0,Paid
FEE253,STU0032,5,90000,3000,2500,95500,95500,0,Paid
FEE254,STU0032,6,90000,3000,2500,95500,92110,3390,Partially Paid
FEE255,STU0032,7,90000,3000,2500,95500,95500,0,Paid
FEE256,STU0032,8,90000,3000,2500,95500,95500,0,Paid
FEE257,STU0033,1,90000,3000,2500,95500,0,95500,Pending
FEE258,STU0033,2,90000,3000,2500,95500,95500,0,Paid
FEE259,STU0033,3,90000,3000,2500,95500,95500,0,Paid
FEE260,STU0033,4,90000,3000,2500,95500,0,95500,Pending
FEE261,STU0033,5,90000,3000,2500,95500,57555,37945,Partially Paid
FEE262,STU0033,6,90000,3000,2500,95500,95500,0,Paid
FEE263,STU0033,7,90000,3000,2500,95500,95500,0,Paid
FEE264,STU0033,8,90000,3000,2500,95500,80688,14812,Partially Paid
FEE265,STU0034,1,90000,3000,2500,95500,95500,0,Paid
FEE266,STU0034,2,90000,3000,2500,95500,77648,17852,Partially Paid
FEE267,STU0034,3,90000,3000,2500,95500,67602,27898,Partially Paid
FEE268,STU0034,4,90000,3000,2500,95500,47753,47747,Partially Paid
FEE269,STU0034,5,90000,3000,2500,95500,95500,0,Paid
FEE270,STU0034,6,90000,3000,2500,95500,92551,2949,Partially Paid
FEE271,STU0034,7,90000,3000,2500,95500,95500,0,Paid
FEE272,STU0034,8,90000,3000,2500,95500,0,95500,Pending
FEE273,STU0035,1,90000,3000,2500,95500,57624,37876,Partially Paid
FEE274,STU0035,2,90000,3000,2500,95500,70157,25343,Partially Paid
FEE275,STU0035,3,90000,3000,2500,95500,89490,6010,Partially Paid
FEE276,STU0035,4,90000,3000,2500,95500,95500,0,Paid
FEE277,STU0035,5,90000,3000,2500,95500,95500,0,Paid
FEE278,STU0035,6,90000,3000,2500,95500,95500,0,Paid
FEE279,STU0035,7,90000,3000,2500,95500,95500,0,Paid
FEE280,STU0035,8,90000,3000,2500,95500,95500,0,Paid
FEE281,STU0036,1,90000,3000,2500,95500,95500,0,Paid
FEE282,STU0036,2,90000,3000,2500,95500,95500,0,Paid
FEE283,STU0036,3,90000,3000,2500,95500,81545,13955,Partially Paid
FEE284,STU0036,4,90000,3000,2500,95500,95500,0,Paid
FEE285,STU0036,5,90000,3000,2500,95500,95500,0,Paid
FEE286,STU0036,6,90000,3000,2500,95500,95500,0,Paid
FEE287,STU0036,7,90000,3000,2500,95500,95500,0,Paid
FEE288,STU0036,8,90000,3000,2500,95500,95500,0,Paid
FEE289,STU0037,1,90000,3000,2500,95500,95500,0,Paid
FEE290,STU0037,2,90000,3000,2500,95500,55744,39756,Partially Paid
FEE291,STU0037,3,90000,3000,2500,95500,95500,0,Paid
FEE292,STU0037,4,90000,3000,2500,95500,95500,0,Paid
FEE293,STU0037,5,90000,3000,2500,95500,95500,0,Paid
FEE294,STU0037,6,90000,3000,2500,95500,0,95500,Pending
FEE295,STU0037,7,90000,3000,2500,95500,95500,0,Paid
FEE296,STU0037,8,90000,3000,2500,95500,95500,0,Paid
FEE297,STU0038,1,90000,3000,2500,95500,95500,0,Paid
FEE298,STU0038,2,90000,3000,2500,95500,95500,0,Paid
FEE299,STU0038,3,90000,3000,2500,95500,95500,0,Paid
FEE300,STU0038,4,90000,3000,2500,95500,95500,0,Paid
FEE301,STU0038,5,90000,3000,2500,95500,95500,0,Paid
FEE302,STU0038,6,90000,3000,2500,95500,0,95500,Pending
FEE303,STU0038,7,90000,3000,2500,95500,95500,0,Paid
FEE304,STU0038,8,90000,3000,2500,95500,95500,0,Paid
FEE305,STU0039,1,90000,3000,2500,95500,95500,0,Paid
FEE306,STU0039,2,90000,3000,2500,95500,95500,0,Paid
FEE307,STU0039,3,90000,3000,2500,95500,79438,16062,Partially Paid
FEE308,STU0039,4,90000,3000,2500,95500,62698,32802,Partially Paid
FEE309,STU0039,5,90000,3000,2500,95500,95500,0,Paid
FEE310,STU0039,6,90000,3000,2500,95500,95500,0,Paid
FEE311,STU0039,7,90000,3000,2500,95500,84943,10557,Partially Paid
FEE312,STU0039,8,90000,3000,2500,95500,79926,15574,Partially Paid
FEE313,STU0040,1,90000,3000,2500,95500,95500,0,Paid
FEE314,STU0040,2,90000,3000,2500,95500,95500,0,Paid
FEE315,STU0040,3,90000,3000,2500,95500,59309,36191,Partially Paid
FEE316,STU0040,4,90000,3000,2500,95500,95500,0,Paid
FEE317,STU0040,5,90000,3000,2500,95500,95500,0,Paid
FEE318,STU0040,6,90000,3000,2500,95500,95500,0,Paid
FEE319,STU0040,7,90000,3000,2500,95500,95500,0,Paid
FEE320,STU0040,8,90000,3000,2500,95500,95500,0,Paid
FEE321,STU0041,1,90000,3000,2500,95500,95500,0,Paid
FEE322,STU0041,2,90000,3000,2500,95500,0,95500,Pending
FEE323,STU0041,3,90000,3000,2500,95500,95500,0,Paid
FEE324,STU0041,4,90000,3000,2500,95500,95500,0,Paid
FEE325,STU0041,5,90000,3000,2500,95500,95500,0,Paid
FEE326,STU0041,6,90000,3000,2500,95500,0,95500,Pending
FEE327,STU0041,7,90000,3000,2500,95500,0,95500,Pending
FEE328,STU0041,8,90000,3000,2500,95500,81848,13652,Partially Paid
FEE329,STU0042,1,90000,3000,2500,95500,65245,30255,Partially Paid
FEE330,STU0042,2,90000,3000,2500,95500,95500,0,Paid
FEE331,STU0042,3,90000,3000,2500,95500,83605,11895,Partially Paid
FEE332,STU0042,4,90000,3000,2500,95500,95500,0,Paid
FEE333,STU0042,5,90000,3000,2500,95500,95500,0,Paid
FEE334,STU0042,6,90000,3000,2500,95500,95500,0,Paid
FEE335,STU0042,7,90000,3000,2500,95500,0,95500,Pending
FEE336,STU0042,8,90000,3000,2500,95500,64230,31270,Partially Paid
FEE337,STU0043,1,90000,3000,2500,95500,95500,0,Paid
FEE338,STU0043,2,90000,3000,2500,95500,95500,0,Paid
FEE339,STU0043,3,90000,3000,2500,95500,95500,0,Paid
FEE340,STU0043,4,90000,3000,2500,95500,62415,33085,Partially Paid
FEE341,STU0043,5,90000,3000,2500,95500,95500,0,Paid
FEE342,STU0043,6,90000,3000,2500,95500,95500,0,Paid
FEE343,STU0043,7,90000,3000,2500,95500,95500,0,Paid
FEE344,STU0043,8,90000,3000,2500,95500,87434,8066,Partially Paid
FEE345,STU0044,1,90000,3000,2500,95500,83016,12484,Partially Paid
FEE346,STU0044,2,90000,3000,2500,95500,95500,0,Paid
FEE347,STU0044,3,90000,3000,2500,95500,0,95500,Pending
FEE348,STU0044,4,90000,3000,2500,95500,61999,33501,Partially Paid
FEE349,STU0044,5,90000,3000,2500,95500,95500,0,Paid
FEE350,STU0044,6,90000,3000,2500,95500,0,95500,Pending
FEE351,STU0044,7,90000,3000,2500,95500,95500,0,Paid
FEE352,STU0044,8,90000,3000,2500,95500,95500,0,Paid
FEE353,STU0045,1,90000,3000,2500,95500,95500,0,Paid
FEE354,STU0045,2,90000,3000,2500,95500,64816,30684,Partially Paid
FEE355,STU0045,3,90000,3000,2500,95500,67677,27823,Partially Paid
FEE356,STU0045,4,90000,3000,2500,95500,95500,0,Paid
FEE357,STU0045,5,90000,3000,2500,95500,70512,24988,Partially Paid
FEE358,STU0045,6,90000,3000,2500,95500,0,95500,Pending
FEE359,STU0045,7,90000,3000,2500,95500,67704,27796,Partially Paid
FEE360,STU0045,8,90000,3000,2500,95500,80077,15423,Partially Paid
FEE361,STU0046,1,90000,3000,2500,95500,0,95500,Pending
FEE362,STU0046,2,90000,3000,2500,95500,95500,0,Paid
FEE363,STU0046,3,90000,3000,2500,95500,95500,0,Paid
FEE364,STU0046,4,90000,3000,2500,95500,74252,21248,Partially Paid
FEE365,STU0046,5,90000,3000,2500,95500,95500,0,Paid
FEE366,STU0046,6,90000,3000,2500,95500,87508,7992,Partially Paid
FEE367,STU0046,7,90000,3000,2500,95500,95500,0,Paid
FEE368,STU0046,8,90000,3000,2500,95500,55872,39628,Partially Paid
FEE369,STU0047,1,90000,3000,2500,95500,51070,44430,Partially Paid
FEE370,STU0047,2,90000,3000,2500,95500,95500,0,Paid
FEE371,STU0047,3,90000,3000,2500,95500,95500,0,Paid
FEE372,STU0047,4,90000,3000,2500,95500,95500,0,Paid
FEE373,STU0047,5,90000,3000,2500,95500,95500,0,Paid
FEE374,STU0047,6,90000,3000,2500,95500,95500,0,Paid
FEE375,STU0047,7,90000,3000,2500,95500,95500,0,Paid
FEE376,STU0047,8,90000,3000,2500,95500,95500,0,Paid
FEE377,STU0048,1,90000,3000,2500,95500,95500,0,Paid
FEE378,STU0048,2,90000,3000,2500,95500,81601,13899,Partially Paid
FEE379,STU0048,3,90000,3000,2500,95500,67365,28135,Partially Paid
FEE380,STU0048,4,90000,3000,2500,95500,95500,0,Paid
FEE381,STU0048,5,90000,3000,2500,95500,95500,0,Paid
FEE382,STU0048,6,90000,3000,2500,95500,0,95500,Pending
FEE383,STU0048,7,90000,3000,2500,95500,95500,0,Paid
FEE384,STU0048,8,90000,3000,2500,95500,84821,10679,Partially Paid
FEE385,STU0049,1,90000,3000,2500,95500,95500,0,Paid
FEE386,STU0049,2,90000,3000,2500,95500,0,95500,Pending
FEE387,STU0049,3,90000,3000,2500,95500,95500,0,Paid
FEE388,STU0049,4,90000,3000,2500,95500,95500,0,Paid
FEE389,STU0049,5,90000,3000,2500,95500,95500,0,Paid
FEE390,STU0049,6,90000,3000,2500,95500,95500,0,Paid
FEE391,STU0049,7,90000,3000,2500,95500,95500,0,Paid
FEE392,STU0049,8,90000,3000,2500,95500,95500,0,Paid
FEE393,STU0050,1,90000,3000,2500,95500,90911,4589,Partially Paid
FEE394,STU0050,2,90000,3000,2500,95500,72458,23042,Partially Paid
FEE395,STU0050,3,90000,3000,2500,95500,95500,0,Paid
FEE396,STU0050,4,90000,3000,2500,95500,95500,0,Paid
FEE397,STU0050,5,90000,3000,2500,95500,95500,0,Paid
FEE398,STU0050,6,90000,3000,2500,95500,95500,0,Paid
FEE399,STU0050,7,90000,3000,2500,95500,95500,0,Paid
FEE400,STU0050,8,90000,3000,2500,95500,95500,0,Paid
FEE401,STU0051,1,90000,3000,2500,95500,70446,25054,Partially Paid
FEE402,STU0051,2,90000,3000,2500,95500,95500,0,Paid
FEE403,STU0051,3,90000,3000,2500,95500,95500,0,Paid
FEE404,STU0051,4,90000,3000,2500,95500,95500,0,Paid
FEE405,STU0051,5,90000,3000,2500,95500,95500,0,Paid
FEE406,STU0051,6,90000,3000,2500,95500,56855,38645,Partially Paid
FEE407,STU0051,7,90000,3000,2500,95500,49266,46234,Partially Paid
